,subid,uuid,gender,test_trial,age_in_years,option1,option2,trial_audio,selected_image,lang,parent_mask,peer_mask,own_mask
127,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,23-null,3.030136986,scared6,angry5_2,Scared_1_pause_2,option1,en,Sometimes,Sometimes,Sometimes
128,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,24-null,3.030136986,happy1,sad3,Happy_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
129,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,25-null,3.030136986,angry6,scared6,Angry_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
130,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,26-null,3.030136986,angry4,scared3,Angry_1_pause_2,option1,en,Sometimes,Sometimes,Sometimes
131,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,27-null,3.030136986,sad6,angry6,Sad_1_pause_2,option1,en,Sometimes,Sometimes,Sometimes
132,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,28-null,3.030136986,happy5,scared1,Scared_1_pause_2,option2,en,Sometimes,Sometimes,Sometimes
133,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,29-null,3.030136986,happy5,angry1_2,Happy_1_pause_2,option1,en,Sometimes,Sometimes,Sometimes
134,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,30-null,3.030136986,happy2,scared5,Happy_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
135,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,31-null,3.030136986,happy6,scared4,Happy_1_pause_2,option1,en,Sometimes,Sometimes,Sometimes
136,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,32-null,3.030136986,scared2,sad1_2,Sad_2_pause_2,option2,en,Sometimes,Sometimes,Sometimes
137,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,33-null,3.030136986,happy1,sad5,Sad_2_pause_2,option1,en,Sometimes,Sometimes,Sometimes
138,58661,c99aa76e-6258-4289-b05a-5b6c19622944,f,34-null,3.030136986,sad4,happy6,Sad_1_pause_2,option1,en,Sometimes,Sometimes,Sometimes
139,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,11-null,3.405479452,sad6,scared3,Sad_1_pause_2,option1,en,Often,Sometimes,Often
140,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,12-null,3.405479452,scared6,sad6,Scared_1_pause_2,option1,en,Often,Sometimes,Often
141,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,13-null,3.405479452,happy3_2,angry1_2,Angry_1_pause_2,option2,en,Often,Sometimes,Often
142,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,14-null,3.405479452,scared5,angry5_2,Scared_1_pause_2,option1,en,Often,Sometimes,Often
143,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,16-null,3.405479452,happy5,sad3,Sad_2_pause_2,option2,en,Often,Sometimes,Often
144,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,17-null,3.405479452,scared4,angry3,Angry_1_pause_2,option2,en,Often,Sometimes,Often
145,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,18-null,3.405479452,happy2,sad2_2,Happy_1_pause_2,option1,en,Often,Sometimes,Often
146,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,19-null,3.405479452,happy1,scared2,Scared_2_pause_2,option2,en,Often,Sometimes,Often
147,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,20-null,3.405479452,happy4,angry4,Angry_2_pause_2,option2,en,Often,Sometimes,Often
148,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,21-null,3.405479452,sad2_2,angry3,Sad_2_pause_2,option1,en,Often,Sometimes,Often
149,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,22-null,3.405479452,scared4,happy6,Scared_2_pause_2,option1,en,Often,Sometimes,Often
150,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,23-null,3.405479452,scared5,sad5,Sad_1_pause_2,option2,en,Often,Sometimes,Often
151,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,24-null,3.405479452,scared6,happy5,Happy_2_pause_2,option2,en,Often,Sometimes,Often
152,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,25-null,3.405479452,happy6,scared1,Happy_2_pause_2,option1,en,Often,Sometimes,Often
153,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,26-null,3.405479452,angry1_2,sad1_2,Sad_1_pause_2,option2,en,Often,Sometimes,Often
154,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,27-null,3.405479452,sad5,angry6,Angry_1_pause_2,option2,en,Often,Sometimes,Often
155,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,28-null,3.405479452,angry4,happy3_2,Happy_1_pause_2,option2,en,Often,Sometimes,Often
156,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,29-null,3.405479452,angry2,sad3,Angry_2_pause_2,option1,en,Often,Sometimes,Often
157,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,30-null,3.405479452,scared1,sad1_2,Scared_1_pause_2,option1,en,Often,Sometimes,Often
158,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,31-null,3.405479452,scared2,angry5_2,Angry_2_pause_2,option2,en,Often,Sometimes,Often
159,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,32-null,3.405479452,angry6,scared3,Scared_2_pause_2,option2,en,Often,Sometimes,Often
160,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,33-null,3.405479452,happy4,sad4,Happy_2_pause_2,option1,en,Often,Sometimes,Often
161,58679,9d4308e7-b4e2-4700-b46b-d374a1792585,m,34-null,3.405479452,happy1,angry2,Happy_1_pause_2,option1,en,Often,Sometimes,Often
